fighter,opponent,date,elo_before,elo_after,result,elo_trend
Aleksei Oleinik,Maurice Greene,2020-01-18,1551.9210901063773,1610.3441534401215,1.0,-59.409726330169406
Aleksei Oleinik,Fabricio Werdum,2020-05-09,1610.3441534401215,1651.1075912846622,1.0,-63.69924446206346
Aleksei Oleinik,Derrick Lewis,2020-08-08,1651.1075912846622,1617.9598997603764,0.0,35.313732949088035
Aleksei Oleinik,Chris Daukaus,2021-02-20,1617.9598997603764,1558.0999709495177,0.0,66.03880965399912
Aleksei Oleinik,Serghei Spivac,2021-06-19,1558.0999709495177,1512.4993582502818,0.0,-52.24418249060386
Aleksei Oleinik,Jared Vanderaa,2022-04-09,1512.4993582502818,1559.912482104885,1.0,-138.60823303438042
Aleksei Oleinik,Ilir Latifi,2022-10-01,1559.912482104885,1511.2961117285024,0.0,-58.04741765549147
Alen Amedovski,Krzysztof Jotko,2019-04-20,1500.0,1455.8856303037137,0.0,
Alen Amedovski,John Phillips,2019-09-28,1455.8856303037137,1379.1937155569367,0.0,
Alen Amedovski,Joseph Holmes,2022-05-21,1409.3952866677025,1355.5925660150062,0.0,
Alen Amedovski,Joe Pyfer,2022-09-17,1355.5925660150062,1319.187526203504,0.0,-144.40743398499376
Alessandro Costa,Amir Albazi,2022-12-17,1500.0,1460.9756170283508,0.0,
Alessandro Costa,Jimmy Flick,2023-06-17,1460.9756170283508,1523.5801120837111,1.0,
Alessandro Costa,Steve Erceg,2023-11-11,1523.5801120837111,1479.4582536319374,0.0,
