date,f1_name,f2_name,weight_class,no_of_rounds,m1_prob,m2a_prob,m2a_pick,pick_novig,gap,gap_size,gap_zone,gap_zone_label,gap_direction,closing_odds,m1_m2a_agree,vegas_agree,triple_agree,m2b_win_prob,m2b_confidence,pick_won,split,agreement_type
2021-09-18,Pannie Kianzad,Raquel Pennington,Women's Bantamweight,3,35.42,35.42,Raquel Pennington,55.26,9.32,9.32,5,Strong Value,1,-135.0,1,1,1,,,1,train,CONFIRM_FAV
2021-09-18,Ariane Lipski,Mandy Bohm,Women's Flyweight,3,61.73,61.73,Ariane Lipski,53.25,8.49,8.49,5,Strong Value,1,-125.0,1,1,1,,,1,train,CONFIRM_FAV
2021-09-25,Valentina Shevchenko,Lauren Murphy,Women's Flyweight,5,81.83,81.83,Valentina Shevchenko,89.35,-7.52,7.52,4,Value,-1,-1375.0,1,1,1,,,1,train,NO_EDGE
2021-09-25,Jessica Andrade,Cynthia Calvillo,Women's Flyweight,3,67.67,67.67,Jessica Andrade,65.81,1.86,1.86,1,Strong,1,-220.0,1,1,1,,,1,train,CONFIRM_FAV
2021-09-25,Roxanne Modafferi,Taila Santos,Women's Flyweight,3,11.22,11.22,Taila Santos,76.19,12.59,12.59,6,Max Value,1,-400.0,1,1,1,,,1,train,CONFIRM_FAV
2021-10-02,Bethe Correia,Karol Rosa,Women's Bantamweight,3,30.51,30.51,Karol Rosa,84.05,-14.56,14.56,6,Max Value,-1,-720.0,1,1,1,,,1,train,NO_EDGE
2021-10-02,Antonina Shevchenko,Casey O'Neill,Women's Flyweight,3,32.98,32.98,Casey O'Neill,69.58,-2.55,2.55,2,Lean,-1,-265.0,1,1,1,,,1,train,NO_EDGE
2021-10-02,Stephanie Egger,Shanna Young,Women's Bantamweight,3,63.96,63.96,Stephanie Egger,58.82,5.13,5.13,4,Value,1,-155.0,1,1,1,,,1,train,CONFIRM_FAV
2021-10-09,Loopy Godinez,Silvana Gomez Juarez,Women's Strawweight,3,79.96,79.96,Loopy Godinez,73.42,6.54,6.54,4,Value,1,-330.0,1,1,1,,,1,train,CONFIRM_FAV
2021-10-09,Sabina Mazo,Mariya Agapova,Women's Flyweight,3,40.41,40.41,Mariya Agapova,35.71,23.88,23.88,6,Max Value,1,170.0,1,0,0,,,1,train,CONFIRM_DOG
2021-10-09,Mackenzie Dern,Marina Rodriguez,Women's Strawweight,5,45.15,45.15,Marina Rodriguez,35.71,19.14,19.14,6,Max Value,1,170.0,1,0,0,,,1,train,CONFIRM_DOG
2021-10-16,Istela Nunes,Ariane Carnelossi,Women's Strawweight,3,33.57,33.57,Ariane Carnelossi,55.26,11.17,11.17,6,Max Value,1,-135.0,1,1,1,,,1,train,CONFIRM_FAV
2021-10-16,Manon Fiorot,Mayra Bueno Silva,Women's Flyweight,3,74.46,74.46,Manon Fiorot,72.73,1.74,1.74,1,Strong,1,-320.0,1,1,1,,,1,train,CONFIRM_FAV
2021-10-16,Loopy Godinez,Luana Carolina,Women's Flyweight,3,61.73,61.73,Loopy Godinez,65.81,-4.08,4.08,3,Watch,-1,-220.0,1,1,1,,,0,train,NO_EDGE
2021-10-16,Aspen Ladd,Norma Dumont,Women's Featherweight,5,42.04,42.04,Norma Dumont,43.8,14.17,14.17,6,Max Value,1,120.0,1,0,0,,,1,train,CONFIRM_DOG
2021-10-23,Jessica-Rose Clark,Joselyne Edwards,Women's Bantamweight,3,50.19,50.19,Jessica-Rose Clark,57.11,-6.92,6.92,4,Value,-1,-145.0,1,1,1,,,1,train,NO_EDGE
2021-10-23,Livinha Souza,Randa Markos,Women's Strawweight,3,39.84,39.84,Randa Markos,44.74,15.42,15.42,6,Max Value,1,115.0,1,0,0,,,1,train,CONFIRM_DOG
