fighter_name,has_ufc_stats_url,ufc_stats_url
Daniel Rodriguez,True,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6
Daniel Santos,True,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
Daniel Zellhuber,True,http://ufcstats.com/fighter-details/4148802ae4a50768
Daniil Donchenko,True,http://ufcstats.com/fighter-details/70dd69b6a703257e
Danny Barlow,True,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63
Danny Roberts,True,http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9
Danny Silva,True,http://ufcstats.com/fighter-details/d964a59c48381cb6
Daria Zhelezniakova,True,http://ufcstats.com/fighter-details/07047eb7d17fb0a2
Darren Elkins,True,http://ufcstats.com/fighter-details/92a9aa9c93192871
Darrius Flowers,True,http://ufcstats.com/fighter-details/65db4065e2bc107d
Davey Grant,True,http://ufcstats.com/fighter-details/113df4fde64735c6
David Dvorak,True,http://ufcstats.com/fighter-details/9ada30894bf04e19
David Martinez,True,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa
David Onama,True,http://ufcstats.com/fighter-details/ffe9703408fb5964
Deiveson Figueiredo,True,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
Denis Tiuliulin,True,http://ufcstats.com/fighter-details/0112352cb32f5026
Denise Gomes,True,http://ufcstats.com/fighter-details/cffb87059e645bd1
Dennis Buzukja,True,http://ufcstats.com/fighter-details/c4d039123e62f6a9
Denys Bondar,True,http://ufcstats.com/fighter-details/2526be54e6a0e62a
Denzel Freeman,True,http://ufcstats.com/fighter-details/b5c19c34f12c917e
Derek Brunson,True,http://ufcstats.com/fighter-details/b1a3e0aca758b322
Derrick Lewis,True,http://ufcstats.com/fighter-details/d3df1add9d9a7efb
Devin Clark,True,http://ufcstats.com/fighter-details/cc7040fe76f0ef91
Diana Belbita,True,http://ufcstats.com/fighter-details/d7e40dca3ae125be
Diego Ferreira,True,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc
Diego Lopes,True,http://ufcstats.com/fighter-details/f166e93d04a8c274
Dione Barbosa,True,http://ufcstats.com/fighter-details/27b388f0aab49780
Diyar Nurgozhay,True,http://ufcstats.com/fighter-details/709fadb644ee3f51
Djorden Santos,True,http://ufcstats.com/fighter-details/312f7d7b2b2f7de4
Dom Mar Fan,True,http://ufcstats.com/fighter-details/530af2900b5a1693
Dominick Reyes,True,http://ufcstats.com/fighter-details/2e19380f34871c6a
Don Shainis,True,http://ufcstats.com/fighter-details/da4628f173337902
Don'Tale Mayes,True,http://ufcstats.com/fighter-details/1a9480fc288e55d7
DongHun Choi,True,http://ufcstats.com/fighter-details/3be16d817b36098b
Donte Johnson,True,http://ufcstats.com/fighter-details/ad5cb64af10fc946
Dooho Choi,True,http://ufcstats.com/fighter-details/e93b04e308913c2e
Douglas Silva de Andrade,True,http://ufcstats.com/fighter-details/3a314d9fa7c6825d
Drakkar Klose,True,http://ufcstats.com/fighter-details/7cbf7c78d3b34218
Drew Dober,True,http://ufcstats.com/fighter-details/519e4fe37ce9ff75
Dricus Du Plessis,True,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e
Dusko Todorovic,True,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
Dustin Jacoby,True,http://ufcstats.com/fighter-details/e4277e87a789d687
Dustin Poirier,True,http://ufcstats.com/fighter-details/029eaff01e6bb8f0
Dustin Stoltzfus,True,http://ufcstats.com/fighter-details/71505842fb6455c3
Dylan Budka,True,http://ufcstats.com/fighter-details/a817e238b2747404
Ed Herman,True,http://ufcstats.com/fighter-details/06f36cf4bd97ec77
Edgar Chairez,True,http://ufcstats.com/fighter-details/5ef94841c4bc3f86
Edmen Shahbazyan,True,http://ufcstats.com/fighter-details/4144798612ef96e5
Edson Barboza,True,http://ufcstats.com/fighter-details/64a50dad704d1d49
Eduarda Moura,True,http://ufcstats.com/fighter-details/de594b35c45c2e9a
Elijah Smith,True,http://ufcstats.com/fighter-details/7478b7f959ba61f5
